,alks,Reason,Source
638,10-Methoxyvomilenine,Contains Nitrogen and ine at end of word,KNApSAcK
639,(-)-Vincamajinine,Contains Nitrogen and ine at end of word,KNApSAcK
640,(-)-10-Methoxyperakine,Contains Nitrogen and ine at end of word,KNApSAcK
641,(-)-Vincawajine,Contains Nitrogen and ine at end of word,KNApSAcK
642,Majdine,Contains Nitrogen and ine at end of word,KNApSAcK
643,Eburnamonine,Kegg Brite,KNApSAcK
644,(-)-11-Methoxyeburnamonine,Contains Nitrogen and ine at end of word,KNApSAcK
645,(-)-16-Epivincamine,Contains Nitrogen and ine at end of word,KNApSAcK
646,(+)-Vincaminine,Contains Nitrogen and ine at end of word,KNApSAcK
647,(+)-Vincinine,Contains Nitrogen and ine at end of word,KNApSAcK
648,Minovincine,Contains Nitrogen and ine at end of word,KNApSAcK
649,Vobtusine,Contains Nitrogen and ine at end of word,KNApSAcK
650,Voacamidine,Contains Nitrogen and ine at end of word,KNApSAcK
651,(-)-Cuanzine,Contains Nitrogen and ine at end of word,KNApSAcK
652,(-)-Decarbomethoxycuanzine,Contains Nitrogen and ine at end of word,KNApSAcK
653,(+)-Dehydrovoachalotine,Contains Nitrogen and ine at end of word,KNApSAcK
654,Tryptanthrin,Kegg Brite,KNApSAcK
655,Adifoline,Contains Nitrogen and ine at end of word,KNApSAcK
656,Cadambine,Contains Nitrogen and ine at end of word,KNApSAcK
657,Cordifoline,Contains Nitrogen and ine at end of word,KNApSAcK
658,Dopamine,Kegg Brite,KNApSAcK
659,Cephaeline,Kegg Brite,KNApSAcK
660,Emetine,Kegg Brite,KNApSAcK
661,Ipecoside,Kegg Brite,KNApSAcK
662,Protoemetine,Kegg Brite,KNApSAcK
663,7'-O-Demethylcephaeline,Contains Nitrogen and ine at end of word,KNApSAcK
664,Turbinatine,Contains Nitrogen and ine at end of word,KNApSAcK
665,Cinchonidine,Kegg Brite,KNApSAcK
666,Hydroquinidine,Kegg Brite,KNApSAcK
667,Quinine,Contains Nitrogen and ine at end of word,KNApSAcK
668,Quinidine,Kegg Brite,KNApSAcK
669,Cinchonine,Kegg Brite,KNApSAcK
670,10-Methoxycinchonamine,Contains Nitrogen and ine at end of word,KNApSAcK
671,Adenine,Contains Nitrogen and ine at end of word,KNApSAcK
672,Caffeine,Kegg Brite,KNApSAcK
673,Theophylline,Kegg Brite,KNApSAcK
674,Xanthosine,Kegg Brite,KNApSAcK
675,7-Methylxanthine,Kegg Brite,KNApSAcK
676,Xanthosine 5'-monophosphate,Contains Nitrogen and ine at end of word,KNApSAcK
677,Adenosine,Contains Nitrogen and ine at end of word,KNApSAcK
678,7-Methylxanthosine,Kegg Brite,KNApSAcK
679,Paraxanthine,Contains Nitrogen and ine at end of word,KNApSAcK
680,3-Methylxanthine,Kegg Brite,KNApSAcK
681,Melatonin,Kegg Brite,KNApSAcK
682,"2,3-Dimethylpyrazine",Contains Nitrogen and ine at end of word,KNApSAcK
683,"2,5-Dimethylpyrazine",Contains Nitrogen and ine at end of word,KNApSAcK
684,"2,6-Dimethylpyrazine",Contains Nitrogen and ine at end of word,KNApSAcK
685,2-Acetylpyridine,Contains Nitrogen and ine at end of word,KNApSAcK
686,2-Ethyl-6-methylpyrazine,Contains Nitrogen and ine at end of word,KNApSAcK
687,2-Methoxy-3-isobutylpyrazine,Contains Nitrogen and ine at end of word,KNApSAcK
688,2-Methoxypyridine,Contains Nitrogen and ine at end of word,KNApSAcK
689,2-Methylpyrazine,Contains Nitrogen and ine at end of word,KNApSAcK
690,Pyridine,Contains Nitrogen and ine at end of word,KNApSAcK
691,Theobromine,Kegg Brite,KNApSAcK
692,Theacrine,Contains Nitrogen and ine at end of word,KNApSAcK
693,Methylliberine,Contains Nitrogen and ine at end of word,KNApSAcK
694,"1,3,7-Trimethyluric acid",Kegg Brite,KNApSAcK
695,Liberine,Contains Nitrogen and ine at end of word,KNApSAcK
696,Vasicinone,Kegg Brite,KNApSAcK
697,Guettardine,Contains Nitrogen and ine at end of word,KNApSAcK
698,L-Ephedrine,Contains Nitrogen and ine at end of word,KNApSAcK
699,Apodihydrocinchonamine,Contains Nitrogen and ine at end of word,KNApSAcK
700,Dihydroquinamine,Contains Nitrogen and ine at end of word,KNApSAcK
701,Tetrahydroharmine,Kegg Brite,KNApSAcK
702,Rhynchophylline,Contains Nitrogen and ine at end of word,KNApSAcK
703,Angustoline,Contains Nitrogen and ine at end of word,KNApSAcK
704,Hirsuteine,Contains Nitrogen and ine at end of word,KNApSAcK
705,Hirsutine,Contains Nitrogen and ine at end of word,KNApSAcK
706,Isomitraphylline,Contains Nitrogen and ine at end of word,KNApSAcK
707,Isorhynchophylline,Contains Nitrogen and ine at end of word,KNApSAcK
708,Mitrajavine,Contains Nitrogen and ine at end of word,KNApSAcK
709,Uncarine C,Contains Nitrogen and ine at end of word,KNApSAcK
710,Speciophylline,Contains Nitrogen and ine at end of word,KNApSAcK
711,Isopteropodine,Contains Nitrogen and ine at end of word,KNApSAcK
712,Uncarine F,Contains Nitrogen and ine at end of word,KNApSAcK
713,Isomitraphylline N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
714,"16,17-Dihydro-17beta-hydroxymitraphylline",Contains Nitrogen and ine at end of word,KNApSAcK
715,Mitrafoline,Contains Nitrogen and ine at end of word,KNApSAcK
716,Mitragynine,Contains Nitrogen and ine at end of word,KNApSAcK
717,3-Isoajmalicine,Contains Nitrogen and ine at end of word,KNApSAcK
718,Ciliaphylline,Contains Nitrogen and ine at end of word,KNApSAcK
719,Corynantheidine,Contains Nitrogen and ine at end of word,KNApSAcK
720,Corynoxeine,Contains Nitrogen and ine at end of word,KNApSAcK
721,Corynoxine,Contains Nitrogen and ine at end of word,KNApSAcK
722,Corynoxine B,Contains Nitrogen and ine at end of word,KNApSAcK
723,Isocorynantheidine,Contains Nitrogen and ine at end of word,KNApSAcK
724,Isomitrafoline,Contains Nitrogen and ine at end of word,KNApSAcK
725,Isopaynantheine,Contains Nitrogen and ine at end of word,KNApSAcK
726,Javaphylline,Contains Nitrogen and ine at end of word,KNApSAcK
727,Mitragynine oxindole A,Contains Nitrogen and ine at end of word,KNApSAcK
728,Mitragynine oxindole B,Contains Nitrogen and ine at end of word,KNApSAcK
729,Paynantheine,Contains Nitrogen and ine at end of word,KNApSAcK
730,Rhynchociline,Contains Nitrogen and ine at end of word,KNApSAcK
731,Speciociliatine,Contains Nitrogen and ine at end of word,KNApSAcK
732,Speciofoline,Contains Nitrogen and ine at end of word,KNApSAcK
733,Speciogynine,Contains Nitrogen and ine at end of word,KNApSAcK
734,Specionoxeine,Contains Nitrogen and ine at end of word,KNApSAcK
735,Corynantheidaline,Contains Nitrogen and ine at end of word,KNApSAcK
736,Isocorynoxeine,Contains Nitrogen and ine at end of word,KNApSAcK
737,Mitragynaline,Contains Nitrogen and ine at end of word,KNApSAcK
738,Mitralactonine,Contains Nitrogen and ine at end of word,KNApSAcK
739,Mitrasulgynine,Contains Nitrogen and ine at end of word,KNApSAcK
740,7alpha-Hydroxy-7H-mitragynine,Contains Nitrogen and ine at end of word,KNApSAcK
741,9-Methoxymitralactonine,Contains Nitrogen and ine at end of word,KNApSAcK
742,Cytidine,Contains Nitrogen and ine at end of word,KNApSAcK
743,Methyl beta-Carboline-1-carboxylate,Contains Nitrogen and ine at end of word,KNApSAcK
744,"18,19-Dihydroangustine",Contains Nitrogen and ine at end of word,KNApSAcK
745,Decarbomethoxy naucl echine,Contains Nitrogen and ine at end of word,KNApSAcK
746,Naucleofficine A,Contains Nitrogen and ine at end of word,KNApSAcK
747,Naucleofficine B,Contains Nitrogen and ine at end of word,KNApSAcK
748,Naucleofficine C,Contains Nitrogen and ine at end of word,KNApSAcK
749,Naucleofficine D,Contains Nitrogen and ine at end of word,KNApSAcK
750,Naucleofficine E,Contains Nitrogen and ine at end of word,KNApSAcK
751,Nauclealine A,Contains Nitrogen and ine at end of word,KNApSAcK
752,Nauclealine B,Contains Nitrogen and ine at end of word,KNApSAcK
753,Blumeanine,Contains Nitrogen and ine at end of word,KNApSAcK
754,Ophiorrhizine-12-carboxylate,Contains Nitrogen and ine at end of word,KNApSAcK
755,Camptothecin,Kegg Brite,KNApSAcK
756,Ophiorine A,Contains Nitrogen and ine at end of word,KNApSAcK
757,Ophiorine A methyl ester,Contains Nitrogen and ine at end of word,KNApSAcK
758,Ophiorine B,Contains Nitrogen and ine at end of word,KNApSAcK
759,Ophiorine B methyl ester,Contains Nitrogen and ine at end of word,KNApSAcK
760,(+)-Calycanthine,Contains Nitrogen and ine at end of word,KNApSAcK
761,Croceaine A,Contains Nitrogen and ine at end of word,KNApSAcK
762,Croceaine B,Contains Nitrogen and ine at end of word,KNApSAcK
763,Tubulosine,Kegg Brite,KNApSAcK
764,Psychotrine,Kegg Brite,KNApSAcK
765,"1',2',3',4'-Tetradehydrotubulosine",Contains Nitrogen and ine at end of word,KNApSAcK
766,Angustine,Kegg Brite,KNApSAcK
767,Brachycerine,Contains Nitrogen and ine at end of word,KNApSAcK
768,Hodgkinsine,Kegg Brite,KNApSAcK
769,Harmaline,Kegg Brite,KNApSAcK
770,Harmine,Kegg Brite,KNApSAcK
771,Dihydrocupreine,Contains Nitrogen and ine at end of word,KNApSAcK
772,14alpha-Hydroxy-3-isorauniticine,Contains Nitrogen and ine at end of word,KNApSAcK
773,Uncarine B,Contains Nitrogen and ine at end of word,KNApSAcK
774,Isogambirine,Contains Nitrogen and ine at end of word,KNApSAcK
775,14beta-Hydroxy-3-isorauniticine,Contains Nitrogen and ine at end of word,KNApSAcK
776,19-Epi-3-isoajmalicine,Contains Nitrogen and ine at end of word,KNApSAcK
777,3-Isorauniticine,Contains Nitrogen and ine at end of word,KNApSAcK
778,3-Isorauniticine pseudoindoxyl,Contains Nitrogen and ine at end of word,KNApSAcK
779,Akuammigine pseudoindoxyl,Contains Nitrogen and ine at end of word,KNApSAcK
780,Rauniticine oxindole A,Contains Nitrogen and ine at end of word,KNApSAcK
781,Rauniticine pseudoindoxyl,Contains Nitrogen and ine at end of word,KNApSAcK
782,Tetrahydroalstonine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
783,Uncarine A,Contains Nitrogen and ine at end of word,KNApSAcK
784,Roxburghine B,Contains Nitrogen and ine at end of word,KNApSAcK
785,Dihydrocorynantheine,Contains Nitrogen and ine at end of word,KNApSAcK
786,Isorhyncophylline,Contains Nitrogen and ine at end of word,KNApSAcK
787,5-Hydroxytryptamine,Contains Nitrogen and ine at end of word,KNApSAcK
788,3alpha-Dihydrocadambine,Contains Nitrogen and ine at end of word,KNApSAcK
789,Angustidine,Contains Nitrogen and ine at end of word,KNApSAcK
790,5-Methoxytryptamine,Contains Nitrogen and ine at end of word,KNApSAcK
791,3beta-Isodihydrocadambine,Contains Nitrogen and ine at end of word,KNApSAcK
792,Isoformosanine,Contains Nitrogen and ine at end of word,KNApSAcK
793,5(S)-5-Carboxystrictosidine,Contains Nitrogen and ine at end of word,KNApSAcK
794,(-)-11-Methoxy-17-epivincamajine,Contains Nitrogen and ine at end of word,KNApSAcK
795,(-)-11-Methoxyvincamajine,Contains Nitrogen and ine at end of word,KNApSAcK
796,(-)-11-Methoxyvincamedine,Contains Nitrogen and ine at end of word,KNApSAcK
797,(-)-Eburnamenine,Contains Nitrogen and ine at end of word,KNApSAcK
798,Desethylibophyllidine,Contains Nitrogen and ine at end of word,KNApSAcK
799,Antofine,Contains Nitrogen and ine at end of word,KNApSAcK
800,Aricine,Kegg Brite,KNApSAcK
801,Limapodine,Contains Nitrogen and ine at end of word,KNApSAcK
802,Tetrahydrosecodine,Contains Nitrogen and ine at end of word,KNApSAcK
803,Limaspermidine,Contains Nitrogen and ine at end of word,KNApSAcK
804,Cabucine,Kegg Brite,KNApSAcK
805,Japindine,Contains Nitrogen and ine at end of word,KNApSAcK
806,Tylophorine,Contains Nitrogen and ine at end of word,KNApSAcK
807,(+)-Mehranine,Contains Nitrogen and ine at end of word,KNApSAcK
808,Ervatinine,Contains Nitrogen and ine at end of word,KNApSAcK
809,Hyderabadine,Contains Nitrogen and ine at end of word,KNApSAcK
810,Modestanine,Contains Nitrogen and ine at end of word,KNApSAcK
811,Stapfinine,Contains Nitrogen and ine at end of word,KNApSAcK
812,Vandrikine,Contains Nitrogen and ine at end of word,KNApSAcK
813,20-Epiervatamine,Contains Nitrogen and ine at end of word,KNApSAcK
814,Ervatamine,Contains Nitrogen and ine at end of word,KNApSAcK
815,"19,20-Didehydroervatamine",Contains Nitrogen and ine at end of word,KNApSAcK
816,Ervadivaricatine A,Contains Nitrogen and ine at end of word,KNApSAcK
817,Ervadivaricatine B,Contains Nitrogen and ine at end of word,KNApSAcK
818,Pericalline,Contains Nitrogen and ine at end of word,KNApSAcK
819,"16,20-Episilicine",Contains Nitrogen and ine at end of word,KNApSAcK
820,"6,16-Didehydro-20-episilicine",Contains Nitrogen and ine at end of word,KNApSAcK
821,"6-Oxo-16,20-episilicine",Contains Nitrogen and ine at end of word,KNApSAcK
822,Conophyllidine,Contains Nitrogen and ine at end of word,KNApSAcK
823,Tabertinggine,Contains Nitrogen and ine at end of word,KNApSAcK
824,3-oxoibogaine hydroxyindolenine,Contains Nitrogen and ine at end of word,KNApSAcK
825,Ervayunine,Contains Nitrogen and ine at end of word,KNApSAcK
826,Latifoline,Kegg Brite,KNApSAcK
827,Amataine,Contains Nitrogen and ine at end of word,KNApSAcK
828,Paravallarine,Kegg Brite,KNApSAcK
829,Holacine,Contains Nitrogen and ine at end of word,KNApSAcK
830,Holantosine A,Contains Nitrogen and ine at end of word,KNApSAcK
831,Holantosine B,Contains Nitrogen and ine at end of word,KNApSAcK
832,Holantosine C,Contains Nitrogen and ine at end of word,KNApSAcK
833,Holantosine D,Contains Nitrogen and ine at end of word,KNApSAcK
834,Holantosine E,Contains Nitrogen and ine at end of word,KNApSAcK
835,Holantosine F,Contains Nitrogen and ine at end of word,KNApSAcK
836,Holarosine A,Contains Nitrogen and ine at end of word,KNApSAcK
837,Holarosine B,Contains Nitrogen and ine at end of word,KNApSAcK
838,Holarricine,Contains Nitrogen and ine at end of word,KNApSAcK
839,Holadysenterine,Contains Nitrogen and ine at end of word,KNApSAcK
840,Kurchaline,Contains Nitrogen and ine at end of word,KNApSAcK
841,Kurchamine,Contains Nitrogen and ine at end of word,KNApSAcK
842,Kurchiline,Contains Nitrogen and ine at end of word,KNApSAcK
843,N-Methylfuntumine,Contains Nitrogen and ine at end of word,KNApSAcK
844,10-Demethoxykopsidasinine,Contains Nitrogen and ine at end of word,KNApSAcK
845,Jasminiflorine,Contains Nitrogen and ine at end of word,KNApSAcK
846,Kopsijasmine,Contains Nitrogen and ine at end of word,KNApSAcK
847,Fruticosamine,Contains Nitrogen and ine at end of word,KNApSAcK
848,"(-)-11,12-Methylenedioxy-kopsinaline",Contains Nitrogen and ine at end of word,KNApSAcK
849,(-)-12-Methoxykopsinaline,Contains Nitrogen and ine at end of word,KNApSAcK
850,20-Oxoeburnamenine,Contains Nitrogen and ine at end of word,KNApSAcK
851,(+)-Melonine,Contains Nitrogen and ine at end of word,KNApSAcK
852,Buxomeline,Contains Nitrogen and ine at end of word,KNApSAcK
853,Melonine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
854,3-Oxohydroxykopsinine,Contains Nitrogen and ine at end of word,KNApSAcK
855,"14,15-Epoxyscandine",Contains Nitrogen and ine at end of word,KNApSAcK
856,19beta-Hydroxykopsinine,Contains Nitrogen and ine at end of word,KNApSAcK
857,Insulopinine,Contains Nitrogen and ine at end of word,KNApSAcK
858,Suaveolenine,Contains Nitrogen and ine at end of word,KNApSAcK
859,Pandicine,Contains Nitrogen and ine at end of word,KNApSAcK
860,Maingayine,Contains Nitrogen and ine at end of word,KNApSAcK
861,20-Epikibataline,Contains Nitrogen and ine at end of word,KNApSAcK
862,Affinine,Contains Nitrogen and ine at end of word,KNApSAcK
863,Iboxygaine hydroxyindolenine,Contains Nitrogen and ine at end of word,KNApSAcK
864,Akuammigine,Contains Nitrogen and ine at end of word,KNApSAcK
865,(+)-Rauflorine,Contains Nitrogen and ine at end of word,KNApSAcK
866,Dihydronorpurpeline,Contains Nitrogen and ine at end of word,KNApSAcK
867,Normitoridine,Contains Nitrogen and ine at end of word,KNApSAcK
868,12-Methoxyajmaline,Contains Nitrogen and ine at end of word,KNApSAcK
869,(+)-Rauflexine,Contains Nitrogen and ine at end of word,KNApSAcK
870,(+)-Reflexine,Contains Nitrogen and ine at end of word,KNApSAcK
871,3-Oxovincadifformine,Contains Nitrogen and ine at end of word,KNApSAcK
872,Obovamine,Contains Nitrogen and ine at end of word,KNApSAcK
873,Accedine,Contains Nitrogen and ine at end of word,KNApSAcK
874,Accedinine,Contains Nitrogen and ine at end of word,KNApSAcK
875,Accedinisine,Contains Nitrogen and ine at end of word,KNApSAcK
876,Coronaridine pseudoindoxyl,Contains Nitrogen and ine at end of word,KNApSAcK
877,(+)-19-Hydroxy-20-epi-pandoline,Contains Nitrogen and ine at end of word,KNApSAcK
878,"(+)-20R-18,19-dihydroxy-pseudovincadifformine",Contains Nitrogen and ine at end of word,KNApSAcK
879,18-Hydroxy-20-epi-ibophyllidine,Contains Nitrogen and ine at end of word,KNApSAcK
880,19-Hydroxyibophyllidine,Contains Nitrogen and ine at end of word,KNApSAcK
881,20-Epi-ibophyllidine,Contains Nitrogen and ine at end of word,KNApSAcK
882,Vobparicine,Contains Nitrogen and ine at end of word,KNApSAcK
883,10-Hydroxycoronaridine,Contains Nitrogen and ine at end of word,KNApSAcK
884,Gabunamine,Contains Nitrogen and ine at end of word,KNApSAcK
885,Tabernamine,Contains Nitrogen and ine at end of word,KNApSAcK
886,19'-20'-Epoxyconoduramine,Contains Nitrogen and ine at end of word,KNApSAcK
887,(+)-Condylocarpine,Contains Nitrogen and ine at end of word,KNApSAcK
888,(-)-Tylocrebine,Contains Nitrogen and ine at end of word,KNApSAcK
889,Tylocrebrine,Contains Nitrogen and ine at end of word,KNApSAcK
890,(-)-Vincapusine,Contains Nitrogen and ine at end of word,KNApSAcK
891,Catharine,Kegg Brite,KNApSAcK
892,Vinflunine,Contains Nitrogen and ine at end of word,KNApSAcK
893,"N-Methyl-14,15-didehydro-aspidofractinine",Contains Nitrogen and ine at end of word,KNApSAcK
894,Rauvoxinine,Contains Nitrogen and ine at end of word,KNApSAcK
895,"1,2-Dehydroaspidospermidine",Contains Nitrogen and ine at end of word,KNApSAcK
896,12-Methoxyechitamidine,Contains Nitrogen and ine at end of word,KNApSAcK
897,12-Methoxytubotaiwine,Contains Nitrogen and ine at end of word,KNApSAcK
898,N(4)-Demethyl-12-methoxyalstogustine,Contains Nitrogen and ine at end of word,KNApSAcK
899,N(4)-Methylakuammidine,Contains Nitrogen and ine at end of word,KNApSAcK
900,Panarine,Contains Nitrogen and ine at end of word,KNApSAcK
901,Undulifoline,Contains Nitrogen and ine at end of word,KNApSAcK
902,Wrightiamine A,Contains Nitrogen and ine at end of word,KNApSAcK
903,Wrightiamine B,Contains Nitrogen and ine at end of word,KNApSAcK
904,"6-Methoxy-2-methyl-1,2,3,4-tetrahydro-beta-carboline",Contains Nitrogen and ine at end of word,KNApSAcK
905,Harman,Kegg Brite,KNApSAcK
906,Borreline,Contains Nitrogen and ine at end of word,KNApSAcK
907,Borrerine,Kegg Brite,KNApSAcK
908,Borreverine,Contains Nitrogen and ine at end of word,KNApSAcK
909,Canthiumine,Contains Nitrogen and ine at end of word,KNApSAcK
910,Emetamine,Kegg Brite,KNApSAcK
911,10-O-Demethylcephaeline,Contains Nitrogen and ine at end of word,KNApSAcK
912,2'-N-(1''-Deoxy-1''-beta-D-fructopyranosyl)cephaeline,Contains Nitrogen and ine at end of word,KNApSAcK
913,Demethylisoalangiside,Kegg Brite,KNApSAcK
914,Isocephaeline,Contains Nitrogen and ine at end of word,KNApSAcK
915,Neocephaeline,Contains Nitrogen and ine at end of word,KNApSAcK
916,Demethylalangiside,Kegg Brite,KNApSAcK
917,2'-N-(1''-deoxy-1''-beta-D-fructopyranosyl)neocephaeline,Contains Nitrogen and ine at end of word,KNApSAcK
918,"10,7'-O,O-Didemethylcephaeline",Contains Nitrogen and ine at end of word,KNApSAcK
919,10-O-Demethylprotoemetine,Contains Nitrogen and ine at end of word,KNApSAcK
920,Epiquinamine,Contains Nitrogen and ine at end of word,KNApSAcK
921,Quinamine,Contains Nitrogen and ine at end of word,KNApSAcK
922,Quinoline,Contains Nitrogen and ine at end of word,KNApSAcK
923,Cupreine,Contains Nitrogen and ine at end of word,KNApSAcK
924,N-methyldihydroquinicine,Contains Nitrogen and ine at end of word,KNApSAcK
925,Auricularine,Contains Nitrogen and ine at end of word,KNApSAcK
926,Capitelline,Contains Nitrogen and ine at end of word,KNApSAcK
927,(-)-Isocyclocapitelline,Contains Nitrogen and ine at end of word,KNApSAcK
928,Cyclocapitelline,Contains Nitrogen and ine at end of word,KNApSAcK
929,Hedyocapitelline,Contains Nitrogen and ine at end of word,KNApSAcK
930,Hedyocapitine,Contains Nitrogen and ine at end of word,KNApSAcK
931,Isochrysotricine,Contains Nitrogen and ine at end of word,KNApSAcK
932,(+)-Chrysotricine,Contains Nitrogen and ine at end of word,KNApSAcK
933,Quadrigemine A,Kegg Brite,KNApSAcK
934,Augustine,Contains Nitrogen and ine at end of word,KNApSAcK
935,L-Selenocystathionine,Contains Nitrogen and ine at end of word,KNApSAcK
936,(+)-Myrioxazine A,Contains Nitrogen and ine at end of word,KNApSAcK
937,(+)-Myrioxazine B,Contains Nitrogen and ine at end of word,KNApSAcK
938,Protopine,Kegg Brite,KNApSAcK
939,Psychotridine,Kegg Brite,KNApSAcK
940,Chimonanthine,Kegg Brite,KNApSAcK
941,Quadrigemine C,Contains Nitrogen and ine at end of word,KNApSAcK
942,(-)-Calycanthine,Contains Nitrogen and ine at end of word,KNApSAcK
943,Isocalycanthine,Contains Nitrogen and ine at end of word,KNApSAcK
944,meso-Chimonanthine,Contains Nitrogen and ine at end of word,KNApSAcK
945,Alangiside,Kegg Brite,KNApSAcK
946,"9,7'-O,O-Didemethylcephaeline",Contains Nitrogen and ine at end of word,KNApSAcK
947,9-O-Demethylprotoemetine,Contains Nitrogen and ine at end of word,KNApSAcK
948,9-O-Demethylcephaeline,Contains Nitrogen and ine at end of word,KNApSAcK
949,7'-O-Demethylisocephaeline,Contains Nitrogen and ine at end of word,KNApSAcK
950,Klugine,Contains Nitrogen and ine at end of word,KNApSAcK
951,Nb-Desmethyl-meso-chimonanthine,Contains Nitrogen and ine at end of word,KNApSAcK
952,Quadrigemine I,Contains Nitrogen and ine at end of word,KNApSAcK
953,Oleoidine,Contains Nitrogen and ine at end of word,KNApSAcK
954,Caledonine,Contains Nitrogen and ine at end of word,KNApSAcK
955,Psychotrimine,Contains Nitrogen and ine at end of word,KNApSAcK
956,Psychopentamine,Contains Nitrogen and ine at end of word,KNApSAcK
957,Psychollatine,Contains Nitrogen and ine at end of word,KNApSAcK
958,O-(2-Pyrrolylcarbonyl)-virgiline,Contains Nitrogen and ine at end of word,KNApSAcK
959,(-)-Remijinine,Contains Nitrogen and ine at end of word,KNApSAcK
960,Epiremijinine,Contains Nitrogen and ine at end of word,KNApSAcK
961,Acetylcupreine,Contains Nitrogen and ine at end of word,KNApSAcK
962,N-Acetylputrescine,Contains Nitrogen and ine at end of word,KNApSAcK
963,Cinchonamine,Contains Nitrogen and ine at end of word,KNApSAcK
