,CPCS_Snippet,Common name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
243,Clarkia spp,Farewell to spring,Clarkia,,,30001602-2,Genus,CPCS
244,Clarkia spp,Jodetia,Clarkia,,,30001602-2,Genus,CPCS
245,Cleome spp,Cleome,Cleome,,,30009982-2,Genus,CPCS
246,Cleome spp,Spider flower,Cleome,,,30009982-2,Genus,CPCS
247,Clerodendrum spp,Bleeding heart,Clerodendrum,,,30002447-2,Genus,CPCS
248,Clerodendrum spp,Pagoda flower,Clerodendrum,,,30002447-2,Genus,CPCS
249,Clerodendrum spp,Bleeding heart vine,Clerodendrum,,,30002447-2,Genus,CPCS
250,Clianthus spp,Clianthus,Clianthus,,,22037-1,Genus,CPCS
251,Clintonia borealis,Corn lily,Clintonia borealis,Clintonia borealis,30082120-2,30082120-2,Species,CPCS
252,Clintonia uniflora,Bride's bonnet,Clintonia uniflora,Clintonia uniflora,533180-1,533180-1,Species,CPCS
253,Cobaeae scandens,Cathedral bells,,,,,,CPCS
254,Cobaeae scandens,Cup-and-saucer vine,,,,,,CPCS
255,Cobaeae scandens,Mexican ivy,,,,,,CPCS
256,Coccothrinax alta,Fan palm,Coccothrinax alta,Coccothrinax alta,62339-2,62339-2,Species,CPCS
257,Coccothrinax argentata,Silver palm,Coccothrinax argentata,Coccothrinax argentata,62341-2,62341-2,Species,CPCS
258,Coccothrinax argentea,Broom palm,Coccothrinax argentea,Coccothrinax argentea,30310531-2,30310531-2,Species,CPCS
259,Coccothrinax argentea,Silver thatch,Coccothrinax argentea,Coccothrinax argentea,30310531-2,30310531-2,Species,CPCS
260,Coccothrinax crinita,Thatch palm,Coccothrinax crinita,Coccothrinax crinita,666033-1,666033-1,Species,CPCS
261,Coleonema ericoides,Breath-of-heaven,,,,,,CPCS
262,Coleus spp,Coleus,Coleus,,,20765-1,Genus,CPCS
263,Cordyline australis,Cabbage tree,Cordyline australis,Cordyline australis,533544-1,533544-1,Species,CPCS
264,Cordyline spp,Cordyline,Cordyline,,,24159-1,Genus,CPCS
265,Cordyline australis,Palm lily,Cordyline australis,Cordyline australis,533544-1,533544-1,Species,CPCS
266,Cordyline spp,Dracaena,Cordyline,,,24159-1,Genus,CPCS
267,Cordyline spp,"Dracaena, blue",Cordyline,,,24159-1,Genus,CPCS
268,Cordyline spp,"Dracaena, fountain",Cordyline,,,24159-1,Genus,CPCS
269,Cordyline spp,"Dracaena, giant",Cordyline,,,24159-1,Genus,CPCS
270,Cordyline terminalis,Good luck plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CPCS
271,Cordyline terminalis,Hawaiian good luck plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CPCS
272,Cordyline terminalis,Ti plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CPCS
273,Coreopsis californica,Coreopsis,Coreopsis californica,Coreopsis californica,65779-2,65779-2,Species,CPCS
274,Cornus canadensis,Bunchberry,Cornus canadensis,Cornus canadensis,271519-1,271519-1,Species,CPCS
275,Cornus florida,"Dogwood, flowering",Cornus florida,Cornus florida,271574-1,271574-1,Species,CPCS
276,Cornus nuttalii,Pacific dogwood,Cornus nuttallii,Cornus nuttallii,66154-2,66154-2,Species,CPCS
277,Cornus nuttalii,Mountain dogwood,Cornus nuttallii,Cornus nuttallii,66154-2,66154-2,Species,CPCS
278,Cortaderia selloana,Pampas grass,Cortaderia selloana,Cortaderia selloana,66317-2,66317-2,Species,CPCS
279,Cosmos spp,Cosmos,Cosmos,,,8410-1,Genus,CPCS
280,Cotinus spp,"Smoke tree, American",Cotinus,,,30173577-2,Genus,CPCS
281,Crassula arborscens,Silver dollar,,,,,,CPCS
282,Crassula argentea,Baby jade,Crassula ovata,Crassula ovata,273350-1,273350-1,Species,CPCS
283,Crassula rupestris,Bead vine,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CPCS
284,Crassula rupestris,Buttons on a string,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CPCS
285,Crassula rupestris,Necklace vine,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CPCS
286,Crassula rupestris,Rosary plant,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CPCS
287,Crassula rupestris,Rosary vine,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CPCS
288,Crassula rupestris,String of buttons,Crassula rupestris,Crassula rupestris,273461-1,273461-1,Species,CPCS
289,Crassula spp,Crassula,Crassula,,,30014394-2,Genus,CPCS
290,Crassula spp,Jade plant/jade tree,Crassula,,,30014394-2,Genus,CPCS
291,Crataegus spp,Crataegus,Crataegus,,,60436254-2,Genus,CPCS
292,Crataegus spp,Hawthorn,Crataegus,,,60436254-2,Genus,CPCS
293,Crataegus spp,May bush,Crataegus,,,60436254-2,Genus,CPCS
294,Crataegus spp,Thorn apple,Crataegus,,,60436254-2,Genus,CPCS
295,Crocus spp,"Crocus, spring blooming ONLY",Crocus,,,20293-1,Genus,CPCS
296,Crocus spp,"Dutch crocus, spring blooming ONLY",Crocus,,,20293-1,Genus,CPCS
297,Crossandra spp,Crossandra,Crossandra,,,492-1,Genus,CPCS
298,Crossandra spp,Firecracker flower,Crossandra,,,492-1,Genus,CPCS
299,Crotolaria ramosissima,Crotolaria,,,,,,CPCS
300,Cryptanthus lacerdae,Silver star,Cryptanthus lacerdae,Cryptanthus lacerdae,77176911-1,77176911-1,Species,CPCS
301,Cryptanthus zonatus,Zebra plant,Cryptanthus zonatus,Cryptanthus zonatus,122644-1,122644-1,Species,CPCS
302,Cucurbitaceae spp,Gourd,,,,,,CPCS
303,Cuphea hyssopifolia,False heather,Cuphea hyssopifolia,Cuphea hyssopifolia,553043-1,553043-1,Species,CPCS
304,Cuphea hyssopifolia,"Heather, Mexican",Cuphea hyssopifolia,Cuphea hyssopifolia,553043-1,553043-1,Species,CPCS
305,Cuphea hyssopifolia,Mexican heather,Cuphea hyssopifolia,Cuphea hyssopifolia,553043-1,553043-1,Species,CPCS
306,Cuphea spp,Firecracker plant,Cuphea,,,30000193-2,Genus,CPCS
307,Cupressus sempervirens,Italian cypress,Cupressus sempervirens,Cupressus sempervirens,261974-1,261974-1,Species,CPCS
308,Cyanotis kewensis,Teddy bear plant or vine,Cyanotis beddomei,Cyanotis beddomei,77105360-1,77105360-1,Species,CPCS
309,Cydonia oblonga,"Quince, common",Cydonia oblonga,Cydonia oblonga,724549-1,724549-1,Species,CPCS
310,Cymbidium spp,Orchid,Cymbidium,,,330383-2,Genus,CPCS
311,Cynanchum spp,Cruel plant,Cynanchum,,,30401855-2,Genus,CPCS
312,Cynanchum spp,Mosquito plant,Cynanchum,,,30401855-2,Genus,CPCS
313,Cyphomandra betacea,Tomato tree,Solanum betaceum,Solanum betaceum,306169-2,306169-2,Species,CPCS
314,Cyrtanthus spp,Fire lily,Cyrtanthus,,,331182-2,Genus,CPCS
316,Dahlia spp,Dahlia,Dahlia,,,325940-2,Genus,CPCS
317,Darlingtonia californica,Cobra lily or Cobra plant,Darlingtonia californica,Darlingtonia californica,76771-2,76771-2,Species,CPCS
318,Darlingtonia californica,Pitcher plant,Darlingtonia californica,Darlingtonia californica,76771-2,76771-2,Species,CPCS
319,Davallia canariensis,"Fern, deer's foot",Davallia canariensis,Davallia canariensis,17078300-1,17078300-1,Species,CPCS
320,Davallia fejeensis,"Fern, hare",Davallia solida var. fejeensis,Davallia solida,17080730-1,17564870-1,Variety,CPCS
321,Davallia fejeensis,"Fern, rabbitâs foot",Davallia solida var. fejeensis,Davallia solida,17080730-1,17564870-1,Variety,CPCS
322,Davallia fejeensis,"Fern, squirrelâs foot",Davallia solida var. fejeensis,Davallia solida,17080730-1,17564870-1,Variety,CPCS
323,Dichelostemma pulchellum,Brodiaea,Dichelostemma congestum,Dichelostemma congestum,533875-1,533875-1,Species,CPCS
324,Dichelostemma pulchellum,Wild hyacinth,Dichelostemma congestum,Dichelostemma congestum,533875-1,533875-1,Species,CPCS
325,Dietes spp,African iris,Dietes,,,331187-2,Genus,CPCS
326,Dietes spp,Fort knight lily,Dietes,,,331187-2,Genus,CPCS
327,Dimorphotheca pluvialis,African daisy,Dimorphotheca pluvialis,Dimorphotheca pluvialis,157385-3,157385-3,Species,CPCS
328,Dimorphotheca pluvialis,Cape marigold,Dimorphotheca pluvialis,Dimorphotheca pluvialis,157385-3,157385-3,Species,CPCS
329,Dinteranthus vanzylii,Living stones,Dinteranthus vanzylii,Dinteranthus vanzylii,361617-1,361617-1,Species,CPCS
330,Dinteranthus wilmotianus,Split rock,Dinteranthus wilmotianus,Dinteranthus wilmotianus,361618-1,361618-1,Species,CPCS
331,Dioscorea elephantipes,Elephantâs foot,Dioscorea elephantipes,Dioscorea elephantipes,317936-1,317936-1,Species,CPCS
332,Diosma ericoides,Breath-of-heaven,Diosma hirsuta,Diosma hirsuta,772468-1,772468-1,Species,CPCS
333,Distictis buccinatoria,Trumpet vine,Amphilophium buccinatorium,Amphilophium buccinatorium,77141945-1,77141945-1,Species,CPCS
334,Dizygotheca elegantissima,Aralia,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,CPCS
335,Dizygotheca elegantissima,False aralia,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,CPCS
336,Dizygotheca elegantissima,Spider aralia,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,CPCS
337,Dracaena australis,Fountain dracaena,Cordyline obtecta,Cordyline obtecta,533623-1,533623-1,Species,CPCS
338,Dracaena australis,Giant dracaena,Cordyline obtecta,Cordyline obtecta,533623-1,533623-1,Species,CPCS
339,Dracaena australis,"Dracaena, giant",Cordyline obtecta,Cordyline obtecta,533623-1,533623-1,Species,CPCS
340,Dracaena deremensis,"Dracaena, striped",Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CPCS
341,Dracaena deremensis,Janet Craig plant,Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CPCS
342,Dracaena draco,Dragon tree,Dracaena draco,Dracaena draco,534171-1,534171-1,Species,CPCS
343,Dracaena fragrans,Painted dragon lily,Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CPCS
344,Dracaena fragrans,Cornplant,Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CPCS
345,Dracaena fragrans,Cornstalk plant,Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CPCS
346,Dracaena fragrans,"Dragon lily, painted",Dracaena fragrans,Dracaena fragrans,534207-1,534207-1,Species,CPCS
347,Dracaena goldieana,Dracaena queen,Dracaena goldieana,Dracaena goldieana,534219-1,534219-1,Species,CPCS
348,Dracaena goldieana,Queen of dracaenas,Dracaena goldieana,Dracaena goldieana,534219-1,534219-1,Species,CPCS
349,Dracaena marginata,Madagascar dragon tree,Aloe purpurea,Aloe purpurea,529816-1,529816-1,Species,CPCS
350,Dracaena sanderiana,Lucky bamboo,Dracaena sanderiana,Dracaena sanderiana,60471006-2,60471006-2,Species,CPCS
351,Dracaena sanderiana,Ribbon plant,Dracaena sanderiana,Dracaena sanderiana,60471006-2,60471006-2,Species,CPCS
352,Dracaena spp,Dracaena,Dracaena,,,30010732-2,Genus,CPCS
353,Dracaena spp,"Dracaena, blue",Dracaena,,,30010732-2,Genus,CPCS
354,Dracaena spp,Florida beauty,Dracaena,,,30010732-2,Genus,CPCS
355,Dracaena spp,Gold dust dracaena,Dracaena,,,30010732-2,Genus,CPCS
356,Dracaena spp,Spotted dracaena,Dracaena,,,30010732-2,Genus,CPCS
357,Dracaena terminalis,Hawaiian good luck plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CPCS
358,Dracaena terminalis,Ti plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CPCS
359,Dracaena terminalis,Tree of kings,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CPCS
360,Dracaena terminalis,Good luck plant,Cordyline fruticosa,Cordyline fruticosa,533580-1,533580-1,Species,CPCS
361,Drosera or Droserae spp,Sundew,,,,,,CPCS
362,Dryopteris marginalis,Evergreen woodfern,Dryopteris marginalis,Dryopteris marginalis,30064660-2,30064660-2,Species,CPCS
363,Dryopteris marginalis,Leather leaf woodfern,Dryopteris marginalis,Dryopteris marginalis,30064660-2,30064660-2,Species,CPCS
364,Duchesnea indica,Indian strawberry,Potentilla indica,Potentilla indica,728289-1,728289-1,Species,CPCS
365,Duchesnea indica,Mock strawberry,Potentilla indica,Potentilla indica,728289-1,728289-1,Species,CPCS
367,Echeveria ispp,Chicks and hens or Chickens and hens,,,,,,CPCS
368,Echeveria spp,Mexican rosettes,Echeveria,,,30004414-2,Genus,CPCS
369,Echeveria spp,Mexican snowball,Echeveria,,,30004414-2,Genus,CPCS
370,Echeveria spp,Plush plant,Echeveria,,,30004414-2,Genus,CPCS
371,Echeveria spp,"Chenille plant, maroon",Echeveria,,,30004414-2,Genus,CPCS
372,Echeveria spp,Echeveria,Echeveria,,,30004414-2,Genus,CPCS
373,Echeveria spp,Hen and chicks,Echeveria,,,30004414-2,Genus,CPCS
374,Echeveria spp,Hens and chickens,Echeveria,,,30004414-2,Genus,CPCS
375,Echeveria spp,Mother hen and chicks,Echeveria,,,30004414-2,Genus,CPCS
376,Echeveria spp,Painted lady,Echeveria,,,30004414-2,Genus,CPCS
377,Echeveria spp,Wax rosette,Echeveria,,,30004414-2,Genus,CPCS
378,Echeveria spp,Mexican firecracker,Echeveria,,,30004414-2,Genus,CPCS
379,Echinacea spp,Coneflower,Echinacea,,,30035795-2,Genus,CPCS
380,Echinacea spp,Echinacea,Echinacea,,,30035795-2,Genus,CPCS
381,Echinacea spp,Rudbeckia,Echinacea,,,30035795-2,Genus,CPCS
382,Eichhornia crassipes,Water hyacinth,Pontederia crassipes,Pontederia crassipes,310928-2,310928-2,Species,CPCS
383,Elaeagnus spp,Silver berry,Elaeagnus,,,30001965-2,Genus,CPCS
384,Elaeagnus spp,Russian olive,Elaeagnus,,,30001965-2,Genus,CPCS
385,Endymion hispanicus,Spanish bluebell,Hyacinthoides hispanica,Hyacinthoides hispanica,536678-1,536678-1,Species,CPCS
386,Endymion italicus,"Squill, Italain",Hyacinthoides italica,Hyacinthoides italica,536679-1,536679-1,Species,CPCS
387,Endymion non-scriptus,English bluebell,Hyacinthoides non-scripta,Hyacinthoides non-scripta,971733-1,971733-1,Species,CPCS
388,Endymion spp,Wood hyacinth,Hyacinthoides,,,24371-1,Genus,CPCS
389,Enterolobium cyclocarpum,Elephantâs ear,Enterolobium cyclocarpum,Enterolobium cyclocarpum,1037928-2,1037928-2,Species,CPCS
390,Epidendrum spp,Orchid,Epidendrum,,,326435-2,Genus,CPCS
391,Epilobium angustifolium,Fireweed,Epilobium angustifolium,Epilobium angustifolium,92411-2,92411-2,Species,CPCS
392,Episcia cupreata,Chocolate soldier,Episcia cupreata,Episcia cupreata,380772-1,380772-1,Species,CPCS
393,Episcia dianthiflora,Lace flower vine,Alsobia dianthiflora,Alsobia dianthiflora,378028-1,378028-1,Species,CPCS
394,Episcia reptans,Flame violet,Episcia reptans,Episcia reptans,380813-1,380813-1,Species,CPCS
395,Episcia reptans,Moss agate,Episcia reptans,Episcia reptans,380813-1,380813-1,Species,CPCS
396,Eriogonum umbellatum,Indian tobacco,Eriogonum umbellatum,Eriogonum umbellatum,30010704-2,30010704-2,Species,CPCS
397,Eriogonum umbellatum,Umbrella plant,Eriogonum umbellatum,Eriogonum umbellatum,30010704-2,30010704-2,Species,CPCS
398,Eruca sativa,Rocket,Eruca vesicaria,Eruca vesicaria,1137625-2,1137625-2,Species,CPCS
399,Erysimum spp,Mullein,Erysimum,,,329617-2,Genus,CPCS
400,Escallonia spp,Escallonia,Escallonia,,,37033-1,Genus,CPCS
401,Eschscholzia californica,California poppy,Eschscholzia californica,Eschscholzia californica,30043364-2,30043364-2,Species,CPCS
402,Eucalyptus cordata,Silver gum,Eucalyptus cordata,Eucalyptus cordata,592825-1,592825-1,Species,CPCS
403,Eucalyptus dalrympleana,Mountain gum,Eucalyptus dalrympleana,Eucalyptus dalrympleana,592858-1,592858-1,Species,CPCS
404,Eugenia cyanocarpa,Eugenia,Syzygium oleosum,Syzygium oleosum,913387-1,913387-1,Species,CPCS
405,Euphorbia pulcherrima,Christmas flower,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CPCS
406,Euphorbia pulcherrima,Christmas star,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CPCS
407,Euphorbia pulcherrima,Easter flower,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CPCS
408,Euphorbia pulcherrima,Flower of the Nativity,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CPCS
409,Euphorbia pulcherrima,Lobster plant,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CPCS
410,Euphorbia pulcherrima,Mexican flame tree or Mexican flameleaf,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CPCS
411,Euphorbia pulcherrima,Painted leaf,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CPCS
412,Euphorbia pulcherrima,Poinsettia,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CPCS
413,Euphorbia pulcherrima,Star of Bethlehem,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CPCS
414,Euryops spp,Euryops,Euryops,,,8900-1,Genus,CPCS
415,Exacum affine,Exacum,Exacum affine,Exacum affine,367449-1,367449-1,Species,CPCS
416,Exacum affine,German violet,Exacum affine,Exacum affine,367449-1,367449-1,Species,CPCS
417,Exacum affine,Persian violet,Exacum affine,Exacum affine,367449-1,367449-1,Species,CPCS
419,Fagus spp,"Beech, American",Fagus,,,30048723-2,Genus,CPCS
420,Fatsia japonica,Fatsia,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CPCS
421,Fatsia japonica,Japanese aralia,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CPCS
422,Fatsia japonica,Japanese fatsia,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CPCS
423,Fatsia japonica,"Palm, bigleaf",Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CPCS
424,Fatsia japonica,Paper plant,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CPCS
425,Fatsia japonica,Bigleaf palm,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,CPCS
426,Fenestraria rhapalophylla,Baby's toes,,,,,,CPCS
427,Ficus benjamina,Weeping fig,Ficus benjamina,Ficus benjamina,852486-1,852486-1,Species,CPCS
428,Ficus benjamina,Ficus,Ficus benjamina,Ficus benjamina,852486-1,852486-1,Species,CPCS
429,Ficus carica,Fig,Ficus carica,Ficus carica,852556-1,852556-1,Species,CPCS
430,Ficus elastica,Rubber plant,Ficus elastica,Ficus elastica,60458499-2,60458499-2,Species,CPCS
431,Ficus elastica,Rubber tree plant,Ficus elastica,Ficus elastica,60458499-2,60458499-2,Species,CPCS
432,Ficus spp,Fiddle leaf fig,Ficus,,,327905-2,Genus,CPCS
433,Ficus spp,Fiddle leaf rubber plant,Ficus,,,327905-2,Genus,CPCS
434,Ficus spp,Creeping fig,Ficus,,,327905-2,Genus,CPCS
435,Ficus spp,"Fig, climbing",Ficus,,,327905-2,Genus,CPCS
436,Fittonia spp,Silver nerve,Fittonia,,,331611-2,Genus,CPCS
437,Fittonia spp,Silver threads,Fittonia,,,331611-2,Genus,CPCS
438,Fittonia spp,Fittonia,Fittonia,,,331611-2,Genus,CPCS
439,Fittonia spp,Nerve plant,Fittonia,,,331611-2,Genus,CPCS
440,Forsythia spp,Forsythia,Forsythia,,,331614-2,Genus,CPCS
441,Forsythia spp,Golden bells,Forsythia,,,331614-2,Genus,CPCS
442,Fragaria species,Wild strawberry,Fragaria,,,30014957-2,Genus,CPCS
443,Freesia spp,Freesia,Freesia,,,331198-2,Genus,CPCS
444,Fritillaria spp,Checker lily,Fritillaria,,,30008840-2,Genus,CPCS
445,Fritillaria spp,Fritillaria,Fritillaria,,,30008840-2,Genus,CPCS
446,Fuchsia spp,Fuchsia,Fuchsia,,,30000052-2,Genus,CPCS
447,Fuchsia spp,Lady's ear drops,Fuchsia,,,30000052-2,Genus,CPCS
449,Galtonia spp,"Hyacinth, summer",Ornithogalum,,,30000299-2,Genus,CPCS
450,Gardenia jasminoides,Cape jasmine,Gardenia jasminoides,Gardenia jasminoides,751073-1,751073-1,Species,CPCS
451,Gardenia jasminoides,Gardenia,Gardenia jasminoides,Gardenia jasminoides,751073-1,751073-1,Species,CPCS
452,Gazania spp,Gazania,Gazania,,,331621-2,Genus,CPCS
453,Gerbera jamesoni,Transvaal daisy,Gerbera jamesonii,Gerbera jamesonii,208893-1,208893-1,Species,CPCS
454,Gerbera jamesonii,African daisy,Gerbera jamesonii,Gerbera jamesonii,208893-1,208893-1,Species,CPCS
455,Gerbera jamesonii,Gerbera daisy,Gerbera jamesonii,Gerbera jamesonii,208893-1,208893-1,Species,CPCS
456,Gesneria spp,Firecracker,Gesneria,,,30002796-2,Genus,CPCS
457,Gesneria spp,Cardinal flower,Gesneria,,,30002796-2,Genus,CPCS
458,Gesneria spp,Helmet flower,Gesneria,,,30002796-2,Genus,CPCS
459,Gilia spp,Cup and saucer plant,Gilia,,,320317-2,Genus,CPCS
460,Gloxinia perennis,Canterbury-bell gloxinia,Gloxinia perennis,Gloxinia perennis,381282-1,381282-1,Species,CPCS
461,Gloxinia perennis,Gloxinia,Gloxinia perennis,Gloxinia perennis,381282-1,381282-1,Species,CPCS
462,Godetia spp,Godetia,Clarkia,,,30001602-2,Genus,CPCS
463,Graptopetalum paraguayense,Mother-of-pearl plant,Graptopetalum paraguayense,Graptopetalum paraguayense,113312-2,113312-2,Species,CPCS
464,Gynura aurantiaca,Purple passion vine,Gynura aurantiaca,Gynura aurantiaca,211219-1,211219-1,Species,CPCS
465,Gynura aurantiaca,Velvet plant,Gynura aurantiaca,Gynura aurantiaca,211219-1,211219-1,Species,CPCS
466,Gypsophila paniculata,Babyâs breath,Gypsophila paniculata,Gypsophila paniculata,154563-1,154563-1,Species,CPCS
468,Halesia spp,"Olive, wild",Halesia,,,331642-2,Genus,CPCS
469,Halesia spp,Silver bell,Halesia,,,331642-2,Genus,CPCS
470,Halesia spp,Snowbell tree,Halesia,,,331642-2,Genus,CPCS
471,Halesia spp,Wild olive,Halesia,,,331642-2,Genus,CPCS
472,Haworthia chalwinii,Column of pearls,Haworthiopsis coarctata var. coarctata,Haworthiopsis coarctata,77138006-1,77169621-1,Variety,CPCS
473,Haworthia spp,Window plant,Haworthia,,,331203-2,Genus,CPCS
474,Haworthia margaritifera,Pearl plant,Tulista pumila var. pumila,Tulista pumila,77138045-1,77172717-1,Variety,CPCS
475,Hebe spp,Veronica,Veronica,,,30005997-2,Genus,CPCS
476,Hedychium coronarium,Butterfly ginger,Hedychium coronarium,Hedychium coronarium,796836-1,796836-1,Species,CPCS
477,Hedychium coronarium,Butterfly lily,Hedychium coronarium,Hedychium coronarium,796836-1,796836-1,Species,CPCS
478,Hedychium coronarium,Ginger lily,Hedychium coronarium,Hedychium coronarium,796836-1,796836-1,Species,CPCS
479,Hedychium coronarium,"Ginger, white",Hedychium coronarium,Hedychium coronarium,796836-1,796836-1,Species,CPCS
480,Helianthus annuus,Sunflower,Helianthus annuus,Helianthus annuus,119003-2,119003-2,Species,CPCS
481,Helichrysum bracteatum,Strawflower,Xerochrysum bracteatum,Xerochrysum bracteatum,962307-1,962307-1,Species,CPCS
