,Plants with Activity Synergy,Chemical Count,Total PPM,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
0,Abelmoschus esculentus,2,140.0,Abelmoschus esculentus,Abelmoschus esculentus,558006-1,558006-1,Species,USDA(Duke)
1,Acacia nilotica,1,,Vachellia nilotica,Vachellia nilotica,77089275-1,77089275-1,Species,USDA(Duke)
2,Acacia farnesiana,1,,Vachellia farnesiana,Vachellia farnesiana,1099713-2,1099713-2,Species,USDA(Duke)
3,Achillea millefolium,2,,Achillea millefolium,Achillea millefolium,2294-2,2294-2,Species,USDA(Duke)
4,Acinos suaveolens,1,,Clinopodium suaveolens,Clinopodium suaveolens,445868-1,445868-1,Species,USDA(Duke)
5,Aconitum napellus,1,,Aconitum napellus,Aconitum napellus,707615-1,707615-1,Species,USDA(Duke)
6,Aconitum carmichaelii,1,,Aconitum carmichaeli,Aconitum carmichaeli,707241-1,707241-1,Species,USDA(Duke)
7,Acorus calamus,1,7900.0,Acorus calamus,Acorus calamus,84009-1,84009-1,Species,USDA(Duke)
8,Actaea spicata,1,,Actaea spicata,Actaea spicata,303913-2,303913-2,Species,USDA(Duke)
9,Actaea rubra,1,,Actaea rubra,Actaea rubra,1082557-2,1082557-2,Species,USDA(Duke)
10,Actaea racemosa,1,,Actaea racemosa,Actaea racemosa,316204-2,316204-2,Species,USDA(Duke)
11,Actaea pachypoda,1,,Actaea pachypoda,Actaea pachypoda,330907-2,330907-2,Species,USDA(Duke)
12,Aesculus hippocastanum,2,60000.0,Aesculus hippocastanum,Aesculus hippocastanum,781594-1,781594-1,Species,USDA(Duke)
13,Aloe vera,2,,Aloe vera,Aloe vera,530017-1,530017-1,Species,USDA(Duke)
14,Althaea officinalis,1,,Althaea officinalis,Althaea officinalis,558872-1,558872-1,Species,USDA(Duke)
15,Anacardium occidentale,1,0.04,Anacardium occidentale,Anacardium occidentale,319068-2,319068-2,Species,USDA(Duke)
16,Anamirta cocculus,1,,Anamirta cocculus,Anamirta cocculus,580121-1,580121-1,Species,USDA(Duke)
17,Ananas comosus,1,,Ananas comosus,Ananas comosus,12322-2,12322-2,Species,USDA(Duke)
18,Anemone pulsatilla,1,,Pulsatilla montana,Pulsatilla montana,712012-1,712012-1,Species,USDA(Duke)
19,Anethum graveolens,2,,Anethum graveolens,Anethum graveolens,837530-1,837530-1,Species,USDA(Duke)
20,Angelica archangelica,1,,Angelica archangelica,Angelica archangelica,837560-1,837560-1,Species,USDA(Duke)
21,Anisodus tanguticus,1,,Anisodus tanguticus,Anisodus tanguticus,814269-1,814269-1,Species,USDA(Duke)
22,Anogeissus latifolia,1,,Terminalia anogeissiana,Terminalia anogeissiana,77164537-1,77164537-1,Species,USDA(Duke)
23,Aquilegia vulgaris,1,,Aquilegia vulgaris,Aquilegia vulgaris,306409-2,306409-2,Species,USDA(Duke)
24,Arctostaphylos uva-ursi,1,,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,1024084-2,1024084-2,Species,USDA(Duke)
25,Areca catechu,1,,Areca catechu,Areca catechu,664107-1,664107-1,Species,USDA(Duke)
26,Arnica montana,1,,Arnica montana,Arnica montana,30090722-2,30090722-2,Species,USDA(Duke)
27,Artemisia vulgaris,1,,Artemisia vulgaris,Artemisia vulgaris,20812-2,20812-2,Species,USDA(Duke)
28,Artemisia dracunculus,2,1200.0,Artemisia dracunculus,Artemisia dracunculus,307848-2,307848-2,Species,USDA(Duke)
29,Artemisia annua,1,,Artemisia annua,Artemisia annua,304416-2,304416-2,Species,USDA(Duke)
30,Artemisia absinthium,2,,Artemisia absinthium,Artemisia absinthium,300106-2,300106-2,Species,USDA(Duke)
31,Asparagus officinalis,2,4.0,Asparagus officinalis,Asparagus officinalis,531229-1,531229-1,Species,USDA(Duke)
32,Atropa bella-donna,2,17424.0,Atropa bella-donna,Atropa bella-donna,814358-1,814358-1,Species,USDA(Duke)
33,Avena sativa,1,,Avena sativa,Avena sativa,391732-1,391732-1,Species,USDA(Duke)
34,Baptisia tinctoria,1,,Baptisia tinctoria,Baptisia tinctoria,1198899-2,1198899-2,Species,USDA(Duke)
35,Belamcanda chinensis,1,,Iris domestica,Iris domestica,60438342-2,60438342-2,Species,USDA(Duke)
36,Berberis vulgaris,1,,Berberis vulgaris,Berberis vulgaris,328527-2,328527-2,Species,USDA(Duke)
37,Bertholletia excelsa,1,0.02,Bertholletia excelsa,Bertholletia excelsa,591270-1,591270-1,Species,USDA(Duke)
38,Boronia megastigma,1,,Boronia megastigma,Boronia megastigma,771646-1,771646-1,Species,USDA(Duke)
39,Brassica rapa,1,,Brassica rapa,Brassica rapa,279485-1,279485-1,Species,USDA(Duke)
40,Brassica oleracea var. sabellica l.,1,,Brassica oleracea,Brassica oleracea,279435-1,279435-1,Species,USDA(Duke)
41,Brassica oleracea var. italica,1,,Brassica cretica subsp. cretica,Brassica cretica,279298-1,77228230-1,Subspecies,USDA(Duke)
42,Brassica oleracea var. gemmifera,1,,Brassica oleracea,Brassica oleracea,279435-1,279435-1,Species,USDA(Duke)
43,Brassica oleracea var. capitata l.,2,29.0,Brassica oleracea,Brassica oleracea,279435-1,279435-1,Species,USDA(Duke)
44,Brassica nigra,1,,Brassica nigra,Brassica nigra,279422-1,279422-1,Species,USDA(Duke)
45,Brassica napus var. napus,1,,Brassica napus,Brassica napus,279419-1,279419-1,Species,USDA(Duke)
46,Brassica napus var. napobrassica,1,,Brassica napus,Brassica napus,279419-1,279419-1,Species,USDA(Duke)
47,Calamintha nepeta,1,,Clinopodium nepeta subsp. spruneri,Clinopodium nepeta,445833-1,77113937-1,Subspecies,USDA(Duke)
48,Camellia sinensis,1,,Camellia sinensis,Camellia sinensis,828548-1,828548-1,Species,USDA(Duke)
49,Cananga odorata,1,,Cananga odorata,Cananga odorata,72580-1,72580-1,Species,USDA(Duke)
50,Cannabis sativa,2,,Cannabis sativa,Cannabis sativa,306087-2,306087-2,Species,USDA(Duke)
51,Capsicum frutescens,3,,Capsicum frutescens,Capsicum frutescens,316959-2,316959-2,Species,USDA(Duke)
52,Capsicum annuum,2,,Capsicum annuum,Capsicum annuum,316944-2,316944-2,Species,USDA(Duke)
53,Carum carvi,1,,Carum carvi,Carum carvi,839677-1,839677-1,Species,USDA(Duke)
54,Carya ovata,1,0.02,Carya ovata,Carya ovata,30122806-2,30122806-2,Species,USDA(Duke)
55,Carya illinoensis,1,0.02,,,,,,USDA(Duke)
56,Carya glabra,1,2.2,Carya glabra,Carya glabra,30055752-2,30055752-2,Species,USDA(Duke)
57,Cassia marilandica,1,,Senna marilandica,Senna marilandica,518344-1,518344-1,Species,USDA(Duke)
58,Castanospermum australe,1,,Castanospermum australe,Castanospermum australe,960752-1,960752-1,Species,USDA(Duke)
59,Caulophyllum thalictroides,1,,Caulophyllum thalictroides,Caulophyllum thalictroides,1056122-2,1056122-2,Species,USDA(Duke)
60,Ceiba pentandra,1,,Ceiba pentandra,Ceiba pentandra,1166232-2,1166232-2,Species,USDA(Duke)
61,Ceratonia siliqua,2,,Ceratonia siliqua,Ceratonia siliqua,485647-1,485647-1,Species,USDA(Duke)
62,Chelidonium majus,2,,Chelidonium majus,Chelidonium majus,303589-2,303589-2,Species,USDA(Duke)
63,Cicer arietinum,1,,Cicer arietinum,Cicer arietinum,486336-1,486336-1,Species,USDA(Duke)
64,Cichorium intybus,2,,Cichorium intybus,Cichorium intybus,194533-1,194533-1,Species,USDA(Duke)
65,Cimicifuga racemosa,1,,Actaea racemosa,Actaea racemosa,316204-2,316204-2,Species,USDA(Duke)
66,Cinnamomum camphora,1,,Cinnamomum camphora,Cinnamomum camphora,463336-1,463336-1,Species,USDA(Duke)
67,Citrullus lanatus,1,,Citrullus lanatus,Citrullus lanatus,291938-1,291938-1,Species,USDA(Duke)
68,Citrus sinensis,1,,Citrus × aurantium,Citrus × aurantium,59600-2,59600-2,Species,USDA(Duke)
69,Citrus paradisi,1,,Citrus × aurantium,Citrus × aurantium,59600-2,59600-2,Species,USDA(Duke)
70,Citrus aurantium,1,,Citrus × aurantium,Citrus × aurantium,59600-2,59600-2,Species,USDA(Duke)
71,Clematis vitalba,1,,Clematis vitalba,Clematis vitalba,319145-2,319145-2,Species,USDA(Duke)
72,Cnicus benedictus,1,,Centaurea benedicta,Centaurea benedicta,190024-1,190024-1,Species,USDA(Duke)
73,Cocos nucifera,2,0.008,Cocos nucifera,Cocos nucifera,666160-1,666160-1,Species,USDA(Duke)
74,Commiphora myrrha,1,,Commiphora myrrha,Commiphora myrrha,127741-1,127741-1,Species,USDA(Duke)
75,Consolida ajacis,1,,Delphinium ajacis,Delphinium ajacis,77254-2,77254-2,Species,USDA(Duke)
76,Convallaria majalis,1,8000.0,Convallaria majalis,Convallaria majalis,533487-1,533487-1,Species,USDA(Duke)
77,Coptis spp,1,,Coptis,,,33110-1,Genus,USDA(Duke)
78,Coptis japonica,1,,Coptis japonica,Coptis japonica,710316-1,710316-1,Species,USDA(Duke)
79,Coptis chinensis,1,,Coptis chinensis,Coptis chinensis,710313-1,710313-1,Species,USDA(Duke)
80,Coriaria thymifolia,1,,Coriaria ruscifolia subsp. microphylla,Coriaria ruscifolia,271369-1,66026-2,Subspecies,USDA(Duke)
81,Coriaria myrtifolia,1,,Coriaria myrtifolia,Coriaria myrtifolia,271361-1,271361-1,Species,USDA(Duke)
82,Corylus avellana,1,0.02,Corylus avellana,Corylus avellana,295446-1,295446-1,Species,USDA(Duke)
83,Crataegus rhipidophylla,3,,Crataegus rhipidophylla,Crataegus rhipidophylla,724131-1,724131-1,Species,USDA(Duke)
84,Crataegus monogyna,1,,Crataegus monogyna,Crataegus monogyna,723820-1,723820-1,Species,USDA(Duke)
85,Crataegus laevigata,3,3000.0,Crataegus laevigata,Crataegus laevigata,723644-1,723644-1,Species,USDA(Duke)
86,Crataegus cuneata,1,,Crataegus cuneata,Crataegus cuneata,723209-1,723209-1,Species,USDA(Duke)
87,Croton tiglium,1,8000.0,Croton tiglium,Croton tiglium,343631-1,343631-1,Species,USDA(Duke)
88,Croton lechleri,1,,Croton lechleri,Croton lechleri,342842-1,342842-1,Species,USDA(Duke)
89,Cucumis sativus,1,,Cucumis sativus,Cucumis sativus,292296-1,292296-1,Species,USDA(Duke)
90,Cucumis melo,1,,Cucumis melo,Cucumis melo,292238-1,292238-1,Species,USDA(Duke)
91,Cydonia oblonga,1,8000.0,Cydonia oblonga,Cydonia oblonga,724549-1,724549-1,Species,USDA(Duke)
92,Cymbopogon winterianus,1,322.0,Cymbopogon winterianus,Cymbopogon winterianus,397039-1,397039-1,Species,USDA(Duke)
93,Cymbopogon nardus,1,1728.0,Cymbopogon nardus,Cymbopogon nardus,396972-1,396972-1,Species,USDA(Duke)
94,Cytisus scoparius,1,,Cytisus scoparius,Cytisus scoparius,489963-1,489963-1,Species,USDA(Duke)
95,Daphne mezereum,1,400.0,Daphne mezereum,Daphne mezereum,831294-1,831294-1,Species,USDA(Duke)
96,Datura stramonium,2,980.0,Datura stramonium,Datura stramonium,314738-2,314738-2,Species,USDA(Duke)
97,Datura metel,2,7120.0,Datura metel,Datura metel,314739-2,314739-2,Species,USDA(Duke)
98,Datura innoxia,2,19230.0,Datura innoxia,Datura innoxia,316945-2,316945-2,Species,USDA(Duke)
99,Datura candida,2,,,,,,,USDA(Duke)
100,Daucus carota,2,,Daucus carota,Daucus carota,841063-1,841063-1,Species,USDA(Duke)
101,Digitalis purpurea,2,,Digitalis purpurea,Digitalis purpurea,802077-1,802077-1,Species,USDA(Duke)
102,Digitalis lanata,1,,Digitalis lanata,Digitalis lanata,802028-1,802028-1,Species,USDA(Duke)
103,Diospyros virginiana,1,5.16,Diospyros virginiana,Diospyros virginiana,323180-1,323180-1,Species,USDA(Duke)
104,Duboisia myoporoides,2,,Duboisia myoporoides,Duboisia myoporoides,815656-1,815656-1,Species,USDA(Duke)
105,Eleutherococcus senticosus,1,,Eleutherococcus senticosus,Eleutherococcus senticosus,90431-1,90431-1,Species,USDA(Duke)
106,Eriobotrya japonica,1,28000.0,Rhaphiolepis bibas,Rhaphiolepis bibas,77209608-1,77209608-1,Species,USDA(Duke)
107,Eriodictyon californicum,1,,Eriodictyon californicum,Eriodictyon californicum,432090-1,432090-1,Species,USDA(Duke)
108,Erythroxylum sp.,1,,Erythroxylum,,,24933-1,Genus,USDA(Duke)
109,Erythroxylum coca,1,,Erythroxylum coca,Erythroxylum coca,330132-2,330132-2,Species,USDA(Duke)
110,Eschscholzia californica,2,,Eschscholzia californica,Eschscholzia californica,30043364-2,30043364-2,Species,USDA(Duke)
111,Eucommia ulmoides,1,,Eucommia ulmoides,Eucommia ulmoides,554475-1,554475-1,Species,USDA(Duke)
112,Fallopia japonica,1,,Reynoutria japonica,Reynoutria japonica,435655-1,435655-1,Species,USDA(Duke)
113,Ficus carica,1,,Ficus carica,Ficus carica,852556-1,852556-1,Species,USDA(Duke)
114,Foeniculum vulgare,1,700.0,Foeniculum vulgare,Foeniculum vulgare,842680-1,842680-1,Species,USDA(Duke)
115,Fragaria spp,1,,Fragaria,,,30014957-2,Genus,USDA(Duke)
116,Frangula purshiana,1,200000.0,Frangula purshiana,Frangula purshiana,30426867-2,30426867-2,Species,USDA(Duke)
117,Frangula alnus,2,140000.0,Frangula alnus,Frangula alnus,717344-1,717344-1,Species,USDA(Duke)
118,Fraxinus rhynchophylla,1,,Fraxinus chinensis subsp. rhynchophylla,Fraxinus chinensis,608968-1,922141-1,Subspecies,USDA(Duke)
119,Fraxinus ornus,1,,Fraxinus ornus,Fraxinus ornus,609128-1,609128-1,Species,USDA(Duke)
120,Galega officinalis,1,,Galega officinalis,Galega officinalis,495681-1,495681-1,Species,USDA(Duke)
121,Galium odoratum,1,,Galium odoratum,Galium odoratum,750339-1,750339-1,Species,USDA(Duke)
122,Genista tinctoria,1,,Genista tinctoria,Genista tinctoria,496408-1,496408-1,Species,USDA(Duke)
123,Geranium thunbergii,1,,Geranium thunbergii,Geranium thunbergii,373741-1,373741-1,Species,USDA(Duke)
124,Ginkgo biloba,1,,Ginkgo biloba,Ginkgo biloba,262125-1,262125-1,Species,USDA(Duke)
125,Glaucium flavum,1,,Glaucium flavum,Glaucium flavum,673167-1,673167-1,Species,USDA(Duke)
126,Glycine max,4,120.0,Glycine max,Glycine max,60450240-2,60450240-2,Species,USDA(Duke)
127,Glycyrrhiza glabra,1,,Glycyrrhiza glabra,Glycyrrhiza glabra,496941-1,496941-1,Species,USDA(Duke)
128,Gossypium sp,2,19000.0,Gossypium,,,30013018-2,Genus,USDA(Duke)
129,Guarea rusbyi,1,,Guarea guidonia,Guarea guidonia,114060-2,114060-2,Species,USDA(Duke)
130,Hedeoma pulegioides,2,2820.0,Hedeoma pulegioides,Hedeoma pulegioides,447676-1,447676-1,Species,USDA(Duke)
131,Helianthus annuus,3,20.0,Helianthus annuus,Helianthus annuus,119003-2,119003-2,Species,USDA(Duke)
132,Heliotropium indicus,1,,Heliotropium indicum,Heliotropium indicum,116938-1,116938-1,Species,USDA(Duke)
133,Hibiscus sabdariffa,1,,Hibiscus sabdariffa,Hibiscus sabdariffa,326388-2,326388-2,Species,USDA(Duke)
134,Hordeum vulgare,3,,Hordeum vulgare,Hordeum vulgare,405391-1,405391-1,Species,USDA(Duke)
135,Huperzia spp,1,,Huperzia,,,30000333-2,Genus,USDA(Duke)
136,Hyoscyamus niger,2,,Hyoscyamus niger,Hyoscyamus niger,815932-1,815932-1,Species,USDA(Duke)
137,Hypericum perforatum,1,,Hypericum perforatum,Hypericum perforatum,433719-1,433719-1,Species,USDA(Duke)
138,Illicium verum,2,280.0,Illicium verum,Illicium verum,554553-1,554553-1,Species,USDA(Duke)
139,Iris x germanica,1,,Iris × germanica,Iris × germanica,438637-1,438637-1,Species,USDA(Duke)
140,Iris versicolor,1,,Iris versicolor,Iris versicolor,439235-1,439235-1,Species,USDA(Duke)
141,Juglans nigra,1,0.06,Juglans nigra,Juglans nigra,279034-2,279034-2,Species,USDA(Duke)
142,Juglans cinerea,1,0.04,Juglans cinerea,Juglans cinerea,442334-1,442334-1,Species,USDA(Duke)
143,Juniperus virginiana,1,5.28,Juniperus virginiana,Juniperus virginiana,132551-2,132551-2,Species,USDA(Duke)
144,Juniperus sabina,1,,Juniperus sabina,Juniperus sabina,30166980-2,30166980-2,Species,USDA(Duke)
145,Juniperus macropoda,1,,Juniperus seravschanica,Juniperus seravschanica,676868-1,676868-1,Species,USDA(Duke)
146,Juniperus communis,1,,Juniperus communis,Juniperus communis,30088655-2,30088655-2,Species,USDA(Duke)
147,Kalanchoe daegrimontiana,1,,,,,,,USDA(Duke)
148,Laburnum anagyroides,1,,Laburnum anagyroides,Laburnum anagyroides,501428-1,501428-1,Species,USDA(Duke)
149,Lactuca virosa,1,,Lactuca virosa,Lactuca virosa,329493-2,329493-2,Species,USDA(Duke)
150,Lactuca scariola,1,,Lactuca serriola,Lactuca serriola,228255-1,228255-1,Species,USDA(Duke)
151,Lactuca sativa,3,40.6,Lactuca sativa,Lactuca sativa,228239-1,228239-1,Species,USDA(Duke)
152,Lantana camara,1,,Lantana camara,Lantana camara,325686-2,325686-2,Species,USDA(Duke)
153,Laurus nobilis,1,,Laurus nobilis,Laurus nobilis,465049-1,465049-1,Species,USDA(Duke)
154,Lens culinaris,1,,Vicia lens,Vicia lens,524872-1,524872-1,Species,USDA(Duke)
155,Linum usitatissimum,2,,Linum usitatissimum,Linum usitatissimum,544772-1,544772-1,Species,USDA(Duke)
156,Lippia javanica,1,,Lippia javanica,Lippia javanica,863680-1,863680-1,Species,USDA(Duke)
157,Liquidambar styraciflua,1,9.72,Liquidambar styraciflua,Liquidambar styraciflua,430718-1,430718-1,Species,USDA(Duke)
158,Lycopersicon esculentum,3,12.0,Solanum lycopersicum,Solanum lycopersicum,316947-2,316947-2,Species,USDA(Duke)
159,Lycopodiella caroliniana,2,,Lycopodiella caroliniana,Lycopodiella caroliniana,146931-2,146931-2,Species,USDA(Duke)
160,Lycopodium selago,1,,Huperzia selago,Huperzia selago,1140250-2,1140250-2,Species,USDA(Duke)
161,Lycopodium cernuum,1,,Lycopodiella cernua,Lycopodiella cernua,1054587-2,1054587-2,Species,USDA(Duke)
162,Lycopodium carolinianum,2,,Lycopodiella caroliniana,Lycopodiella caroliniana,146931-2,146931-2,Species,USDA(Duke)
